recipe_id,ingredient_name,amount,unit,is_alcohol,abv_percent
liqueur_maraschino,Dark Pitted Cherries,4,cups,no,
liqueur_maraschino,Sugar,2,cups,no,
liqueur_melon,Ingredients not yet documented in this system,,,no,
liqueur_pumpkin_spice,Vodka base,1,gal,yes,40
liqueur_pumpkin_spice,Pumpkin Spice Blend,1,batch,no,
liqueur_rhubarb,Ingredients not yet documented in this system,,,no,
liqueur_root_beer,Ingredients not yet documented in this system,,,no,
liqueur_strawberry_rhubarb,Hand Crafted,,,no,
liqueur_triple_sec,Vodka,750,mL,yes,40
liqueur_triple_sec,Fresh Orange Juice,2,cups,no,
liqueur_triple_sec,Sugar,3,cups,no,
liqueur_triple_sec,Water,1,cups,no,
liqueur_violet,GNS,1,cups,yes,93
liqueur_violet,Violets,2,oz,no,
liqueur_violet,Sugar,2,cups,no,
liqueur_violet,Water,4,cups,no,
liqueur_chocolate_zucchini,Ingredients not yet documented in this system,,,no,
liqueur_mocha,Chocolate Mix (no alcohol),4,cups,no,
liqueur_mocha,Cold Brew Concentrate,3,cups,no,
liqueur,Ingredients not yet documented in this system,,,no,
rum_original_750ml,Hand-Crafted,,,no,
rum_banana,Rum with Banana Flavor,,,no,
rum_barrel_aged,Ingredients not yet documented in this system,,,no,
rum_chai,Ingredients not yet documented in this system,,,no,
rum_cherry,Ingredients not yet documented in this system,,,no,
rum_coconut,Rum,750,mL,yes,40
rum_coconut,Coconut Extract,5,mL,no,
rum_grape,Ingredients not yet documented in this system,,,no,
rum_hellcat,Ingredients not yet documented in this system,,,no,
rum_lemon,Ingredients not yet documented in this system,,,no,
rum_mango,Ingredients not yet documented in this system,,,no,
rum_pineapple,Rum,750,mL,yes,40
rum_pineapple,Pineapple Extract (Amoretti or Northwest Extracts),4,mL,no,
rum_spiced,Ingredients not yet documented in this system,,,no,
vermouth_dry,Alcohol (93%),4,tbsp,yes,93
vermouth_dry,Sparkling Grape Juice,4,cups,no,
vermouth_dry,Coriander,1,tsp,no,
vermouth_dry,Chamomile,0.5,tsp,no,
vermouth_dry,Fennel Seed,0.5,tsp,no,
vermouth_dry,Nigella Seed,0.5,tsp,no,
vermouth_dry,Sage Leaves,5,each,no,
vermouth_dry,Allspice Berries,2,each,no,
vermouth_dry,Orange Zest,0.5,each,no,
vermouth_dry,Lemon Zest,1,each,no,
vermouth_dry,Gentian Root,0.5,tsp,no,
vermouth_sweet,Alcohol (93%),4,tbsp,yes,93
vermouth_sweet,Purple Grape Juice,3,cups,no,
vermouth_sweet,Sherry Vinegar,0.5,cups,no,
vermouth_sweet,Vanilla Extract,0.25,cups,no,
vermouth_sweet,(Same aromatics as Dry Vermouth),1,each,no,
vodka_river_run,Distilled from Grain in Wisconsin,,,no,
vodka_bacon,Vodka,1,gal,yes,40
vodka_bacon,Bacon (Beck's Smoked),9,pieces,no,
vodka_barrel_aged,Vodka Aged in an Oak Barrel,,,no,
vodka_basil,Ingredients not yet documented in this system,,,no,
vodka_bbq_barrel_aged,Vodka,2,cups,yes,40
vodka_bbq_barrel_aged,BBQ Sauce,0.75,cups,no,
vodka_bergamot,Vodka,750,mL,yes,40
vodka_bergamot,Bergamot Extract,4,mL,no,
vodka_black_currant,Ingredients not yet documented in this system,,,no,
vodka_black_pepper,Vodka,750,mL,yes,40
vodka_black_pepper,Black Pepper (heaping),2,tbsp,no,
vodka_blackberry,Vodka,750,mL,yes,40
vodka_blackberry,Blackberry Flavor Concentrate,1.33,tbsp,no,
vodka_blackberry,Simple Syrup,2,oz,no,
vodka_blackberry,Water,100,mL,no,
vodka_blue_raspberry,Vodka,750,mL,yes,40
vodka_blue_raspberry,Blue Raspberry Extract,3,mL,no,
vodka_blue_raspberry,Simple Syrup,3,tbsp,no,
vodka_blue_raspberry,Blue Food Color,1,drop,no,
vodka_blueberry,Vodka with Natural Flavor,,,no,
vodka_bomb_pop,Ingredients not yet documented in this system,,,no,
vodka_cold_brew_coffee,Ingredients not yet documented in this system,,,no,
vodka_chicken,Ingredients not yet documented in this system,,,no,
vodka_beef,Ingredients not yet documented in this system,,,no,
vodka_cake,Vodka,750,mL,yes,40
vodka_cake,Cake Flavoring,3,oz,no,
vodka_candy_cane,Ingredients not yet documented in this system,,,no,
vodka_candy_corn,Ingredients not yet documented in this system,,,no,
vodka_carolina_reaper,carolina reaper pepper flavored vodka,,,no,
vodka_celery,Ingredients not yet documented in this system,,,no,
vodka_cherry,Vodka,8,gal,yes,40
